stops_id,tempo libero,"dormire, mangiare e altra cura della persona",istruzione e formazione,lavoro retribuito
11136,9,11,0,2
11137,11,16,0,1
11139,16,18,0,2
11163,27,32,0,4
11165,28,64,0,8
11419,42,88,1,9
11441,53,113,2,8
11443,75,115,3,5
11448,77,102,2,5
15077,141,103,1,5
11481,167,111,4,10
11486,177,112,5,16
14188,261,138,3,27
11504,285,180,3,35
10692,30,12,0,4
10964,16,18,0,5
10976,14,14,0,2
10990,7,10,0,0
11331,19,13,0,4
11341,17,12,0,2
11345,11,9,0,2
11608,27,30,0,14
11620,63,59,0,13
11636,68,63,0,10
11896,49,35,0,15
11907,24,33,1,12
11917,32,31,2,10
11928,83,63,1,10
12177,127,106,1,11
12185,84,75,1,14
12193,142,82,1,9
12210,131,75,1,5
12226,78,68,1,2
12476,37,37,0,2
12478,59,40,0,4
12430,46,33,1,4
12464,48,39,0,3
12424,56,44,0,3
12420,47,38,0,3
12395,41,23,0,4
12393,18,14,0,2
15524,30,23,0,2
12379,33,21,0,2
12378,40,25,0,3
12375,39,28,0,4
12363,27,20,0,5
12079,21,20,0,4
12068,24,22,1,7
13156,27,23,1,6
13157,25,23,1,5
19174,0,0,0,0
19176,0,0,0,0
15559,0,0,0,0
10023,0,0,0,0
12934,1,2,0,0
10028,2,2,0,0
10128,8,5,0,0
10130,8,5,0,0
10134,7,3,0,0
10138,2,2,0,0
10163,10,12,0,1
10057,12,13,0,0
10061,8,6,0,0
10066,8,8,0,1
10067,18,10,0,1
10219,14,6,0,0
10209,11,2,0,0
10210,9,1,0,0
10212,8,4,0,3
10236,8,6,0,1
10371,2,5,0,1
10382,5,4,0,2
10376,3,4,0,2
17922,3,4,0,1
10403,9,9,0,1
12938,307,169,2,32
11490,291,172,1,32
14087,54,22,0,8
14088,86,17,0,4
14089,45,11,0,1
14090,7,2,0,0
18028,40,12,0,2
14093,52,13,0,3
14094,32,10,0,2
14095,0,0,0,0
14096,4,1,0,0
17421,34,16,0,0
17670,36,19,1,17
