id_amat,nome
10239,"Via Inganni, 84 prima di Via Berna"
10240,"Via Venegoni, 9"
10242,Via Cannizzaro prima di Via C.Marx
10243,Via S.Elena dopo Via Arcangeli
10244,Via S.Elena dopo Via Novara
10245,Via Venegoni fronte 9
10246,Via Pio II dopo Via Venegoni
10247,Via Pio II prima di Via Carlo Marx
10249,Via Novara dopo Via S.Elena
10250,Via Pio II prima di Via S.Giusto
10252,"Via Novara, 157 prima di Via Bozzi"
10254,"Via Harar, 29"
10255,Via Pio II dopo Via S.Giusto
10257,Via San Giusto prima di Via Ferreri
10258,Via Novara dopo 127
10259,"Via San Giusto, 56 dopo Via Novara"
10261,"Via Novara, 99 dopo Via San Giusto"
10265,"Via Novara, 58 fronte deposito A.T.M."
10266,Via Novara fronte Via S.Elena
10267,Via Harar fronte 29 dopo Via Pinerolo
10269,"Via Tesio, 7 prima di Via Harar"
10272,Via Patroclo prima di Via Tesio
10273,"Via Patroclo, 19 prima di Via Bisanzio"
10274,"Via Ippodromo, 100 prima di Via Patroclo"
10275,Via Ippodromo prima di Via Diomede
10276,Via Ippodromo dopo Via Diomede
10277,"Via Betti, 62"
10278,"Via Betti, 99"
10279,"Via Betti, 43/a"
10280,"Via Betti, 44"
10281,Via Cechov prima di Via Betti
10282,Via Betti prima di Via Cechov
10283,Via Betti prima di Via Ojetti
10284,Via Cechov dopo Via Betti
10285,"Via Omodeo, 20 prima di Via Cechov"
10286,"Via Omodeo, 25 dopo Via Cechov"
10288,"Via Cechov, 20 dopo Via Natta"
10290,Via Croce dopo Via Omodeo
10291,Via Croce prima di Via Omodeo
10292,"Via Quarenghi, 43"
10294,Via Betti (Bonola M1)
10295,"Via Quarenghi, 34 dopo Via Uruguay"
10296,Via Quarenghi fronte 34 prima di Via Uruguay
10297,Via Uruguay fronte 34 dopo Via Quarenghi
10298,"Via Uruguay, 34 prima di Via Quarenghi"
10299,"Via Uruguay, 15 dopo Via Kant"
10300,"Via Uruguay, 26/2 prima di Via Kant"
10301,"Via Rizzo,  prima di Via Gallarate"
10302,Via Rizzo dopo Via Gallarate
10303,Campo 1
10304,Campo 61
10305,"P.le Cim.Maggiore, 1"
10306,"P.le Cim.Maggiore, 1 prima di V.le Certosa"
10308,"P.le Cim.Maggiore, 17"
10309,"P.le Cim.Maggiore, 17"
10310,"Via Uruguay, 10 dopo Via Sem Benelli"
10311,"Via Uruguay, 9 prima di Via Sem Benelli"
10312,V.le De Gasperi dopo Via Grosio
10313,V.le De Gasperi dopo Via Grosio
10314,"V.le Certosa, 316 prima di P.le Cim. Maggiore"
10315,Campo 69
10316,Campo 84
10317,Campo 73
10322,Campo 13
10323,Via G.Grassi fronte entrata Osp.Sacco
10324,"Via Lorenteggio, 236 dopo Via S.Anatalone"
10326,"Via Lorenteggio, 209 prima di Via Menaggio"
10327,"Via Lodovico il Moro, prima di  Via S.Colombano"
10328,"Via Inganni, 115 dopo Via Lorenteggio"
10329,Via Lodovico il Moro prima di Via Merula
10330,"Via Lodovico il Moro, 159 dopo Via Merula"
10331,"P.za Tirana, 12 dopo Via Gonin"
10332,"Via Inganni, 6 prima di Via Lorenteggio"
10333,"P.za Tirana, 32 fronte Stz FS"
10334,"P.za Tirana, 5 prima di Via Giambellino"
10335,"Via Giambellino, 153 dopo P.za Tirana"
10336,"Via Giambellino, 150 prima di P.za Tirana"
10338,Via Lodovico il Moro prima di Via Della Ferrera
10339,"Via Lodovico il Moro, 137 dopo Via Manfredonia"
10341,"L.go Giambellino, 128 prima di Via Odazio"
10342,"L.go Giambellino, 131 prima di Via Odazio"
10343,Via Inganni prima di Via del Lucarino
10344,"Via Inganni, 77 prima di Via della Rondine"
