,0,1
316,890,11895
317,890,12981
318,890,11640
319,890,11897
320,890,11635
321,890,11642
322,890,11639
323,890,11898
324,890,18465
325,890,17341
326,890,17343
327,890,11896
328,890,11641
329,900,11918
330,900,11912
331,900,11919
332,900,11911
333,900,11917
334,916,12991
335,916,11874
336,916,11872
337,916,11867
338,899,11838
339,899,11837
340,899,11841
341,899,12989
342,899,11833
343,933,11560
344,933,11830
345,933,11829
346,933,15820
347,959,11503
348,959,11491
349,959,11500
350,959,11502
351,959,11504
352,959,11512
353,959,11507
354,959,12938
355,959,11490
356,935,11499
357,935,16929
358,935,11498
359,935,11514
360,935,11515
361,935,16937
362,935,17855
363,935,11510
364,935,11511
365,964,11761
366,964,11754
367,964,11763
368,964,11760
369,964,11764
370,964,11762
371,924,17588
372,924,11778
373,924,11776
374,924,15441
375,924,11781
376,924,11777
377,924,11773
378,942,12032
379,942,12031
380,942,13157
381,942,13164
382,942,13165
383,988,17741
384,988,12040
385,988,12041
386,988,12043
387,966,12344
388,966,12347
389,966,12350
390,966,12351
391,966,12353
392,966,12352
393,966,12346
394,922,12961
395,922,12964
396,914,18050
397,914,18132
398,908,12809
399,908,14204
400,908,16228
401,908,16284
402,908,16266
403,908,12811
404,908,12812
405,908,15269
406,908,16194
407,908,16162
408,908,16290
409,991,12320
410,991,14884
411,991,17123
412,991,17403
413,925,16778
414,925,12308
415,925,12311
416,925,12312
417,925,12945
418,992,17152
419,992,13124
420,992,13117
421,992,17158
422,992,12280
423,992,16796
424,992,12004
425,992,12281
426,983,13120
427,983,13121
428,983,11979
429,983,11973
430,983,11977
431,983,11978
432,983,11972
433,983,11974
434,983,17168
435,983,15404
436,947,11950
437,947,11956
438,947,11951
439,947,11955
440,947,11957
441,947,11952
442,936,11944
443,936,11903
444,932,17612
445,932,17614
446,932,17615
447,932,17853
448,976,11323
449,976,11322
450,961,10960
451,961,10961
452,961,17550
453,961,17551
454,923,10936
455,923,10672
456,938,17533
457,938,10652
458,938,10647
459,938,10658
460,938,10653
461,938,10644
462,905,17360
463,905,17473
464,905,10428
465,907,17467
466,907,17471
467,906,17530
468,906,17531
469,906,10269
470,14909,14970
471,14909,10323
472,14909,16473
473,14909,16447
474,14909,16521
475,10471,10472
476,10473,10474
477,10473,10475
478,10473,10476
479,10473,16467
480,17171,10480
481,10481,15778
482,10725,10727
483,10725,10728
484,10725,10726
485,10725,15583
486,10725,15778
487,10703,14972
488,10703,10699
489,10703,14979
490,10703,14980
491,10703,10704
492,10703,10706
493,10701,10705
494,10701,14905
495,10701,10704
496,10701,10706
497,10708,10707
498,10682,10685
499,10682,10683
500,10686,14998
501,10686,10685
502,10686,10680
503,10689,10688
504,10689,10687
505,10689,10691
506,10689,15554
507,10689,10690
508,10694,10965
509,10694,15555
510,10694,10966
511,10694,10964
512,10694,10967
513,10978,10979
514,10978,10988
515,10978,10987
516,10978,10989
517,10978,10983
518,10978,10986
519,10978,10980
520,10978,14978
521,10978,13778
522,10945,10944
523,10945,10956
524,10945,10993
525,10945,10018
526,10945,10994
527,10945,10943
528,10945,10996
529,10953,10957
530,10953,10954
531,10953,10958
532,10960,10961
533,10960,17550
534,10960,17551
535,10960,10962
536,11281,11283
537,11281,11279
538,11281,11284
539,11281,11285
540,11283,11282
541,11283,11279
542,11283,11284
543,11283,11288
544,11283,11285
545,11287,11291
546,11287,18022
547,11287,18025
548,11262,11261
549,11258,11259
550,11258,11260
551,11252,11254
552,11252,11251
553,11252,11253
554,11256,11255
555,11263,11264
556,11263,11266
557,11270,11269
558,11270,11275
559,11270,16895
560,11270,11277
561,11270,11273
562,11270,11274
563,11270,17233
564,11270,16757
565,11270,11272
566,11522,11521
567,11522,15004
568,11522,17826
569,11536,11535
570,11536,11525
571,11536,11524
572,11536,16961
573,11536,17394
574,11536,17393
575,11546,11544
576,11546,11548
577,11546,11547
578,11546,17394
579,11546,11549
580,11497,11493
581,11497,11494
582,11497,11492
583,11509,11557
584,11509,11493
585,11509,11491
586,11509,11507
587,11509,11490
588,11557,11558
589,11560,11829
590,11560,15820
591,11830,11829
592,11830,11834
593,11840,11835
594,11840,11839
595,11840,16900
596,11840,11834
597,11838,11837
598,11838,11841
599,11838,12989
600,11876,11871
601,11876,11872
602,11876,11867
603,11876,17436
604,11876,11877
605,11876,12988
606,11882,11849
607,11882,11850
608,11886,11888
609,11886,11887
610,11892,11891
611,11892,11888
612,11892,11887
613,12172,12174
614,12172,11893
615,12172,12178
616,12172,12173
617,12175,12180
618,12175,12174
619,12175,11893
620,12175,12173
621,12183,12182
622,12183,12185
623,12183,12184
624,12242,12243
625,12242,15961
626,12245,12246
627,12247,12248
628,12247,12246
629,12253,12249
630,12253,12248
631,12254,12249
632,12254,17732
633,12243,15961
634,12182,12185
635,12182,12184
636,12180,12174
637,12174,11893
638,12174,12178
639,12174,12173
640,11891,11888
641,11891,11887
642,11888,11887
643,11849,11850
644,11871,11872
645,11871,11867
646,11871,17436
647,11871,11877
648,11871,12988
649,11837,11841
650,11837,12989
651,11835,11839
652,11835,16900
653,11835,11834
654,11829,15820
655,11493,11491
656,11493,11494
657,11493,11492
658,11493,11507
659,11493,11490
660,11544,11548
661,11544,11547
662,11544,17394
663,11544,17393
664,11544,11549
665,11535,15004
