"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"11-13 anni";"Ortomercato (29)";97
"11-13 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";541
"11-13 anni";"Monlue' - Ponte Lambro (31)";166
"11-13 anni";"Triulzo Superiore (32)";53
"11-13 anni";"Rogoredo - Santa Giulia (33)";420
"11-13 anni";"Chiaravalle (34)";16
"11-13 anni";"Lodi - Corvetto (35)";918
"11-13 anni";"Scalo Romana (36)";337
"11-13 anni";"Morivione (37)";225
"11-13 anni";"Vigentino - Q.re Fatima (38)";426
"11-13 anni";"Quintosole (39)";9
"11-13 anni";"Ronchetto delle Rane (40)";27
"11-13 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";591
"11-13 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";811
"11-13 anni";"Tibaldi (43)";267
"11-13 anni";"Porta Ticinese - Conchetta (44)";430
"11-13 anni";"Moncucco - San Cristoforo (45)";337
"11-13 anni";"Barona (46)";426
"11-13 anni";"Cantalupa (47)";16
"11-13 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";359
"11-13 anni";"Giambellino (49)";843
"11-13 anni";"Porta Genova (50)";413
"11-13 anni";"Porta Magenta (51)";764
"11-13 anni";"Bande Nere (52)";951
"11-13 anni";"Lorenteggio (53)";387
"11-13 anni";"Muggiano (54)";116
"11-13 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";824
"11-13 anni";"Forze Armate (56)";671
"11-13 anni";"San Siro (57)";748
"11-13 anni";"De Angeli - Monte Rosa (58)";537
"11-13 anni";"Tre Torri (59)";108
"11-13 anni";"Stadio - Ippodromi (60)";420
"11-13 anni";"Quarto Cagnino (61)";305
"11-13 anni";"Quinto Romano (62)";113
"11-13 anni";"Figino (63)";69
"11-13 anni";"Trenno (64)";88
"11-13 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";791
"11-13 anni";"QT 8 (66)";122
"11-13 anni";"Portello (67)";250
"11-13 anni";"Pagano (68)";585
"11-13 anni";"Sarpi (69)";902
"11-13 anni";"Ghisolfa (70)";466
"11-13 anni";"Villapizzone - Cagnola - Boldinasco (71)";1126
"11-13 anni";"Maggiore - Musocco - Certosa (72)";190
"11-13 anni";"Cascina Merlata (73)";4
"11-13 anni";"Roserio (74)";4
"11-13 anni";"Stephenson (75)";4
"11-13 anni";"Quarto Oggiaro - Vialba - Musocco (76)";919
"11-13 anni";"Bovisa (77)";347
"11-13 anni";"Farini (78)";89
"11-13 anni";"Dergano (79)";694
"11-13 anni";"Affori (80)";720
"11-13 anni";"Bovisasca (81)";189
"11-13 anni";"Comasina (82)";282
"11-13 anni";"Bruzzano (83)";384
"11-13 anni";"Parco Nord (84)";6
"11-13 anni";"Parco delle Abbazie (85)";19
"11-13 anni";"Parco dei Navigli (86)";8
"11-13 anni";"Assiano (87)";9
"11-13 anni";"Parco Bosco in citta' (88)";25
"14-18 anni";"Duomo (1)";881
"14-18 anni";"Brera (2)";840
"14-18 anni";"Giardini P.ta Venezia (3)";2
"14-18 anni";"Guastalla (4)";701
"14-18 anni";"Porta Vigentina - Porta Lodovica (5)";646
"14-18 anni";"Porta Ticinese - Conca del Naviglio (6)";795
"14-18 anni";"Magenta - S.Vittore (7)";989
"14-18 anni";"Porta Garibaldi - Porta Nuova (9)";182
"14-18 anni";"Stazione Centrale - Ponte Seveso (10)";685
"14-18 anni";"Isola (11)";817
"14-18 anni";"Maciachini - Maggiolina (12)";1062
"14-18 anni";"Greco - Segnano (13)";680
"14-18 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1604
"14-18 anni";"Bicocca (15)";415
"14-18 anni";"Gorla - Precotto (16)";1223
"14-18 anni";"Adriano (17)";842
"14-18 anni";"Cimiano - Rottole - Q.re Feltre (18)";810
"14-18 anni";"Padova - Turro - Crescenzago (19)";1479
"14-18 anni";"Loreto - Casoretto - NoLo (20)";1596
"14-18 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";2600
"14-18 anni";"Citta' studi (22)";1358
"14-18 anni";"Lambrate - Ortica (23)";522
"14-18 anni";"Parco Forlanini - Cavriano (24)";47
"14-18 anni";"Corsica (25)";716
"14-18 anni";"XXII Marzo (26)";1378
"14-18 anni";"Pta Romana (27)";629
"14-18 anni";"Umbria - Molise - Calvairate (28)";914
"14-18 anni";"Ortomercato (29)";164
"14-18 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";834
