"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"85 anni e più";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1308
"85 anni e più";"Tibaldi (43)";600
"85 anni e più";"Porta Ticinese - Conchetta (44)";583
"85 anni e più";"Moncucco - San Cristoforo (45)";481
"85 anni e più";"Barona (46)";880
"85 anni e più";"Cantalupa (47)";6
"85 anni e più";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";744
"85 anni e più";"Giambellino (49)";1310
"85 anni e più";"Porta Genova (50)";699
"85 anni e più";"Porta Magenta (51)";1234
"85 anni e più";"Bande Nere (52)";2724
"85 anni e più";"Lorenteggio (53)";879
"85 anni e più";"Muggiano (54)";45
"85 anni e più";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1469
"85 anni e più";"Forze Armate (56)";1048
"85 anni e più";"San Siro (57)";1076
"85 anni e più";"De Angeli - Monte Rosa (58)";1044
"85 anni e più";"Tre Torri (59)";81
"85 anni e più";"Stadio - Ippodromi (60)";612
"85 anni e più";"Quarto Cagnino (61)";464
"85 anni e più";"Quinto Romano (62)";178
"85 anni e più";"Figino (63)";55
"85 anni e più";"Trenno (64)";145
"85 anni e più";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";2373
"85 anni e più";"QT 8 (66)";235
"85 anni e più";"Portello (67)";451
"85 anni e più";"Pagano (68)";772
"85 anni e più";"Sarpi (69)";1148
"85 anni e più";"Ghisolfa (70)";816
"85 anni e più";"Villapizzone - Cagnola - Boldinasco (71)";1603
"85 anni e più";"Maggiore - Musocco - Certosa (72)";206
"85 anni e più";"Roserio (74)";6
"85 anni e più";"Stephenson (75)";2
"85 anni e più";"Quarto Oggiaro - Vialba - Musocco (76)";1302
"85 anni e più";"Bovisa (77)";435
"85 anni e più";"Farini (78)";104
"85 anni e più";"Dergano (79)";715
"85 anni e più";"Affori (80)";863
"85 anni e più";"Bovisasca (81)";362
"85 anni e più";"Comasina (82)";325
"85 anni e più";"Bruzzano (83)";491
"85 anni e più";"Parco Nord (84)";2
"85 anni e più";"Parco delle Abbazie (85)";7
"85 anni e più";"Parco dei Navigli (86)";2
"85 anni e più";"Assiano (87)";7
"85 anni e più";"Parco Bosco in citta' (88)";10
