Età (classi funzionali),NIL (Nuclei di Identità Locale),Residenti,num,nil_distro
45-64 anni,MACIACHINI - MAGGIOLINA,7776,12,0.018828497473310557
45-64 anni,MAGENTA - S.VITTORE,5532,7,0.013394965023450875
45-64 anni,MAGGIORE - MUSOCCO - CERTOSA,1975,72,0.004782186536752617
45-64 anni,MONCUCCO - SAN CRISTOFORO,3949,45,0.009561951713233461
45-64 anni,MONLUE' - PONTE LAMBRO,1491,31,0.003610248165214254
45-64 anni,MORIVIONE,2339,37,0.005663561675678163
45-64 anni,MUGGIANO,1174,54,0.0028426769590620617
45-64 anni,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,10665,14,0.025823807298464133
45-64 anni,ORTOMERCATO,1205,29,0.0029177391274870395
45-64 anni,PADOVA - TURRO - CRESCENZAGO,11158,19,0.027017537912448455
45-64 anni,PAGANO,5607,68,0.013576567043833886
45-64 anni,PARCO BOSCO IN CITTA',216,88,0.0005230138187030711
45-64 anni,PARCO FORLANINI - CAVRIANO,339,24,0.0008208411321312086
45-64 anni,PARCO NORD,38,84,9.201169032739212e-05
45-64 anni,PARCO DEI NAVIGLI,97,86,0.00023487194636202726
45-64 anni,PARCO DELLE ABBAZIE,111,85,0.00026877099016685594
45-64 anni,PORTA GARIBALDI - PORTA NUOVA,1731,9,0.004191374630439888
45-64 anni,PORTA GENOVA,4488,50,0.010867064899719364
45-64 anni,PORTA MAGENTA,8312,51,0.02012634657898114
45-64 anni,PORTA TICINESE - CONCA DEL NAVIGLIO,5752,6,0.01392766428324104
45-64 anni,PORTA TICINESE - CONCHETTA,4844,44,0.011729069156470722
45-64 anni,PORTA VIGENTINA - PORTA LODOVICA,3996,5,0.009675755646006813
45-64 anni,PORTELLO,2545,67,0.006162361891663499
45-64 anni,PTA ROMANA,4871,27,0.011794445883808607
45-64 anni,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,9724,65,0.02354530728272529
45-64 anni,QT 8,1181,66,0.0028596264809644762
45-64 anni,QUARTO CAGNINO,3066,61,0.00742389059325748
45-64 anni,QUARTO OGGIARO - VIALBA - MUSOCCO,9596,76,0.023235373167938285
45-64 anni,QUINTO ROMANO,1560,62,0.003777322023966624
45-64 anni,QUINTOSOLE,419,39,0.0010145499538730869
45-64 anni,ROGOREDO - SANTA GIULIA,3597,33,0.008709632897569196
45-64 anni,RONCHETTO DELLE RANE,277,40,0.0006707167952812531
45-64 anni,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,4364,48,0.010566816226019453
45-64 anni,ROSERIO,69,74,0.00016707385875236992
45-64 anni,SAN SIRO,7600,57,0.018402338065478425
45-64 anni,SARPI,9350,69,0.02263971854108201
45-64 anni,SCALO ROMANA,3524,36,0.008532873597729732
45-64 anni,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,8833,42,0.021387875280575123
45-64 anni,STADIO - IPPODROMI,4147,60,0.010041381047044608
45-64 anni,STAZIONE CENTRALE - PONTE SEVESO,5334,10,0.012915535689639726
45-64 anni,STEPHENSON,40,75,9.685441087093907e-05
45-64 anni,TALIEDO - MORSENCHIO - Q.RE FORLANINI,5744,30,0.013908293401066852
45-64 anni,TIBALDI,3185,43,0.007712032465598524
45-64 anni,TRE TORRI,762,59,0.0018450765270913894
45-64 anni,TRENNO,1215,64,0.0029419527302047745
45-64 anni,TRIULZO SUPERIORE,470,32,0.001138039327733534
45-64 anni,UMBRIA - MOLISE - CALVAIRATE,6525,28,0.015799375773321935
45-64 anni,VIGENTINO - Q.RE FATIMA,4228,38,0.01023751122905826
45-64 anni,VILLAPIZZONE - CAGNOLA - BOLDINASCO,12571,71,0.03043891997646438
45-64 anni,XXII MARZO,9629,26,0.023315278056906807
65 anni e più,ADRIANO,2857,17,0.009163600907058572
65 anni e più,AFFORI,4880,80,0.015652212959904033
65 anni e più,ASSIANO,39,87,0.0001250894068516921
65 anni e più,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,7575,55,0.024296211715424808
65 anni e più,BANDE NERE,11273,52,0.03615725342151602
65 anni e più,BARONA,5175,46,0.016598402063012985
65 anni e più,BICOCCA,1446,15,0.004637930315578122
65 anni e più,BOVISA,2398,77,0.00769139481103481
65 anni e più,BOVISASCA,1956,81,0.006273714866715633
65 anni e più,BRERA,4259,2,0.013660404712342476
65 anni e più,BRUZZANO,3083,83,0.009888477982660683
65 anni e più,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,14427,21,0.04627345827306055
65 anni e più,CANTALUPA,105,47,0.00033677917229301714
65 anni e più,CASCINA MERLATA,49,73,0.00015716361373674132
65 anni e più,CHIARAVALLE,290,34,0.0009301519996664282
65 anni e più,CIMIANO - ROTTOLE - Q.RE FELTRE,5201,18,0.016681795000914115
65 anni e più,CITTA' STUDI,8910,22,0.02857811833457888
65 anni e più,COMASINA,1760,82,0.005645060411768668
65 anni e più,CORSICA,4680,25,0.01501072882220305
65 anni e più,DE ANGELI - MONTE ROSA,5130,58,0.016454068132030264
65 anni e più,DERGANO,3928,79,0.012598748464447345
65 anni e più,DUOMO,3725,1,0.011947642064680845
65 anni e più,FARINI,655,78,0.002100860550970726
65 anni e più,FIGINO,475,63,0.0015235248270398394
65 anni e più,FORZE ARMATE,6398,56,0.02052107756505451
65 anni e più,GHISOLFA,3793,70,0.01216574667149918
65 anni e più,GIAMBELLINO,6707,49,0.02151217055780253
65 anni e più,GIARDINI P.TA VENEZIA,6,3,1.924452413102955e-05
65 anni e più,GORLA - PRECOTTO,6363,16,0.020408817840956838
65 anni e più,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,5028,41,0.016126911221802764
65 anni e più,GRECO - SEGNANO,3278,13,0.010513925016919144
65 anni e più,GUASTALLA,3835,4,0.012300458340416388
65 anni e più,ISOLA,4488,11,0.014394904050010104
65 anni e più,LAMBRATE - ORTICA,2117,23,0.006790109597564926
65 anni e più,LODI - CORVETTO,8229,35,0.026393864845707028
65 anni e più,LORENTEGGIO,3484,53,0.011174653678751159
65 anni e più,LORETO - CASORETTO - NOLO,7774,20,0.02493448843243729
65 anni e più,MACIACHINI - MAGGIOLINA,6141,12,0.019696770448108743
65 anni e più,MAGENTA - S.VITTORE,3938,7,0.012630822671332394
65 anni e più,MAGGIORE - MUSOCCO - CERTOSA,1364,72,0.004374921819120718
65 anni e più,MONCUCCO - SAN CRISTOFORO,2950,45,0.009461891031089529
65 anni e più,MONLUE' - PONTE LAMBRO,733,31,0.00235103936467411
65 anni e più,MORIVIONE,1626,37,0.005215266039509008
65 anni e più,MUGGIANO,393,54,0.0012605163305824355
65 anni e più,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9508,14,0.030496155906304827
65 anni e più,ORTOMERCATO,789,29,0.0025306549232303856
65 anni e più,PADOVA - TURRO - CRESCENZAGO,7641,19,0.02450790148086613
65 anni e più,PAGANO,4094,68,0.013131180298739163
65 anni e più,PARCO BOSCO IN CITTA',86,88,0.00027583817921142357
65 anni e più,PARCO FORLANINI - CAVRIANO,138,24,0.00044262405501367967
65 anni e più,PARCO NORD,15,84,4.8111310327573874e-05
65 anni e più,PARCO DEI NAVIGLI,40,86,0.000128296827540197
